    case id  age sex tint target       it     csoa   agegp
42     6 13 27.3   f   no  hicon  32.1625  49.8000 younger
43     7 15 22.2   f   no  hicon  51.8800  46.6875 younger
44     7 15 22.2   f   lo  hicon  79.8900  46.6875 younger
45     7 15 22.2   f   hi  hicon  61.2100  50.8375 younger
46     7 15 22.2   f   no  locon  45.6500  56.0250 younger
47     7 15 22.2   f   lo  locon  57.0600  54.9875 younger
48     7 15 22.2   f   hi  locon  74.7000  51.8750 younger
49     7 15 22.2   f   no  hicon  43.5800  44.6125 younger
50     8 16 27.8   m   no  hicon  25.9375  35.2750 younger
51     8 16 27.8   m   lo  hicon  23.8625  50.8375 younger
52     8 16 27.8   m   hi  hicon  23.8625  42.5375 younger
53     8 16 27.8   m   no  locon  26.9750  41.5000 younger
54     8 16 27.8   m   lo  locon  37.3500  41.5000 younger
55     8 16 27.8   m   hi  locon  35.2750  41.5000 younger
56     8 16 27.8   m   no  hicon  20.7500  29.0500 younger
57     9 17 22.2   f   no  hicon  34.2375  25.9375 younger
58     9 17 22.2   f   lo  hicon  30.0875  25.9375 younger
59     9 17 22.2   f   hi  hicon  31.1250  30.0875 younger
60     9 17 22.2   f   no  locon  35.2750  38.3875 younger
61     9 17 22.2   f   lo  locon  31.1250  37.3500 younger
62     9 17 22.2   f   hi  locon  51.8750  36.3125 younger
63     9 17 22.2   f   no  hicon  23.8625  26.9750 younger
64    10 18 21.7   f   no  hicon  32.1625  39.4250 younger
65    10 18 21.7   f   lo  hicon  31.1250  42.5375 younger
66    10 18 21.7   f   hi  hicon  40.4625  43.5750 younger
67    10 18 21.7   f   no  locon  42.5375  48.7625 younger
68    10 18 21.7   f   lo  locon  57.0625  52.9125 younger
69    10 18 21.7   f   hi  locon  43.5750  44.6125 younger
70    10 18 21.7   f   no  hicon  34.2375  41.5000 younger
71    11  6 70.3   m   no  hicon  46.8000  43.6800   older
72    11  6 70.3   m   lo  hicon  36.4000  54.0800   older
73    11  6 70.3   m   hi  hicon  46.8000  41.6000   older
74    11  6 70.3   m   no  locon  43.6800  49.9200   older
75    11  6 70.3   m   lo  locon  56.1600  42.6400   older
76    11  6 70.3   m   hi  locon  61.3600  46.8000   older
77    11  6 70.3   m   no  hicon  48.8800  37.4400   older
78    12  7 74.1   m   no  hicon  75.9200  63.4400   older
79    12  7 74.1   m   lo  hicon  70.7200  61.3600   older
80    12  7 74.1   m   hi  hicon 101.9200  62.4000   older
81    12  7 74.1   m   no  locon  81.1200  57.2000   older
82    12  7 74.1   m   lo  locon  80.0800  63.4400   older
83    12  7 74.1   m   hi  locon  92.5600  65.5200   older
84    12  7 74.1   m   no  hicon  75.9200  58.2400   older
85    13  8 72.1   f   no  hicon  44.7200  50.9600   older
86    13  8 72.1   f   lo  hicon  38.4800  37.4400   older
87    13  8 72.1   f   hi  hicon  75.9200  43.6800   older
88    13  8 72.1   f   no  locon  30.1600  42.6400   older
89    13  8 72.1   f   lo  locon  49.9200  39.5200   older
90    13  8 72.1   f   hi  locon  67.6000  45.7600   older
91    13  8 72.1   f   no  hicon  33.2800  38.4800   older
92    14  9 75.3   m   no  hicon  30.1600  46.8000   older
93    14  9 75.3   m   lo  hicon  35.3600  47.8400   older
94    14  9 75.3   m   hi  hicon  34.3200  47.8400   older
95    14  9 75.3   m   no  locon  42.6400  50.9600   older
96    14  9 75.3   m   lo  locon  47.8400  48.8800   older
97    14  9 75.3   m   hi  locon  42.6400  54.0800   older
98    14  9 75.3   m   no  hicon  27.0400  44.7200   older
99    15 10 74.7   f   no  hicon  50.9600  64.4800   older
100   15 10 74.7   f   lo  hicon  48.8800  54.0800   older
101   15 10 74.7   f   hi  hicon  56.1600  62.4000   older
102   15 10 74.7   f   no  locon  47.8400  60.3200   older
103   15 10 74.7   f   lo  locon  53.0400  63.4400   older
104   15 10 74.7   f   hi  locon 141.4400  60.3200   older
105   15 10 74.7   f   no  hicon  78.0000  52.0000   older
106   16 21 74.3   m   no  hicon  78.8500  76.7750   older
107   16 21 74.3   m   lo  hicon  61.2125  73.6625   older
108   16 21 74.3   m   hi  hicon  74.7000  84.0375   older
109   16 21 74.3   m   no  locon  57.0625 109.9750   older
110   16 21 74.3   m   lo  locon  57.0625  89.2250   older
111   16 21 74.3   m   hi  locon  91.3000  96.4875   older
